iter	Passed	Remaining
162	2029	22875
163	2041	22851
164	2053	22832
165	2065	22815
166	2074	22773
167	2084	22733
168	2094	22696
169	2106	22670
170	2116	22634
171	2128	22621
172	2141	22611
173	2154	22606
174	2166	22593
175	2178	22575
176	2190	22560
177	2201	22536
178	2212	22504
179	2223	22481
180	2233	22444
181	2243	22409
182	2255	22394
183	2267	22379
184	2281	22381
185	2293	22364
186	2304	22339
187	2315	22315
188	2326	22296
189	2338	22279
190	2348	22247
191	2360	22228
192	2370	22193
193	2382	22183
194	2394	22167
195	2406	22148
196	2417	22129
197	2429	22110
198	2439	22078
199	2449	22044
200	2461	22030
201	2474	22022
202	2485	22002
203	2499	22009
204	2513	22007
205	2528	22023
206	2542	22025
207	2558	22039
208	2570	22031
209	2584	22032
210	2598	22031
211	2610	22019
212	2626	22032
213	2642	22054
214	2656	22055
215	2669	22044
216	2679	22014
217	2690	21993
218	2701	21969
219	2712	21950
220	2724	21929
221	2734	21898
222	2744	21867
223	2756	21855
224	2768	21842
225	2780	21826
226	2798	21859
227	2809	21837
228	2821	21819
229	2832	21795
230	2843	21776
231	2853	21744
232	2863	21714
233	2874	21694
234	2885	21673
235	2897	21660
236	2907	21629
237	2919	21613
238	2931	21596
239	2941	21568
240	2952	21549
241	2963	21526
242	2974	21509
243	2984	21480
244	2995	21460
245	3007	21442
246	3018	21425
247	3030	21407
248	3040	21383
249	3050	21352
250	3061	21334
251	3072	21312
252	3083	21295
253	3095	21275
254	3106	21258
255	3117	21238
256	3129	21227
257	3144	21228
258	3155	21211
259	3167	21197
260	3177	21168
261	3187	21142
262	3196	21111
263	3207	21091
264	3218	21074
265	3229	21052
266	3240	21035
267	3253	21028
268	3267	21024
269	3282	21029
270	3294	21016
271	3305	20999
272	3318	20995
273	3330	20981
274	3343	20971
275	3354	20955
276	3365	20932
277	3376	20912
278	3386	20890
279	3397	20871
280	3407	20844
281	3417	20818
282	3427	20795
283	3437	20769
284	3450	20761
285	3460	20740
286	3471	20718
287	3481	20692
288	3490	20666
289	3500	20640
290	3509	20613
291	3520	20592
292	3530	20566
293	3540	20545
294	3550	20517
295	3560	20496
296	3570	20474
297	3581	20454
298	3591	20431
299	3602	20416
300	3612	20393
301	3623	20370
302	3633	20349
303	3644	20334
304	3655	20312
305	3666	20296
306	3676	20272
307	3686	20250
308	3696	20230
309	3707	20209
310	3718	20192
311	3727	20168
312	3737	20144
313	3748	20126
314	3760	20116
315	3771	20096
316	3782	20082
317	3792	20060
318	3803	20043
319	3813	20023
320	3824	20003
321	3834	19980
322	3844	19957
323	3854	19939
324	3864	19919
325	3875	19902
326	3885	19881
327	3897	19869
328	3907	19848
329	3918	19831
330	3930	19816
331	3940	19799
332	3951	19782
333	3962	19764
334	3972	19745
335	3983	19725
336	3993	19706
337	4004	19688
338	4015	19675
339	4025	19655
340	4037	19642
341	4047	19620
342	4057	19599
343	4068	19586
344	4080	19576
345	4092	19564
346	4105	19557
347	4116	19543
348	4128	19531
349	4142	19527
350	4158	19537
351	4170	19525
352	4182	19513
353	4194	19501
354	4205	19489
355	4219	19486
356	4229	19467
357	4241	19455
358	4254	19446
359	4267	19441
360	4279	19430
361	4289	19409
362	4301	19397
363	4311	19376
364	4323	19365
365	4335	19353
366	4348	19347
367	4360	19337
368	4372	19325
369	4382	19305
370	4394	19295
371	4406	19282
372	4415	19260
373	4425	19238
374	4437	19231
375	4449	19217
376	4461	19206
377	4472	19191
378	4483	19177
379	4493	19155
380	4503	19135
381	4512	19114
382	4525	19106
383	4537	19094
384	4549	19083
385	4561	19072
386	4571	19052
387	4581	19033
388	4590	19012
389	4603	19002
390	4615	18991
391	4624	18969
392	4637	18965
393	4650	18954
394	4661	18943
395	4671	18921
396	4683	18912
397	4695	18900
398	4707	18888
399	4719	18876
400	4731	18865
401	4745	18863
402	4758	18856
403	4780	18886
404	4794	18880
405	4807	18875
406	4823	18880
407	4842	18895
408	4858	18899
409	4872	18894
410	4889	18902
411	4901	18894
412	4913	18881
413	4925	18870
414	4936	18855
415	4949	18844
416	4960	18831
417	4972	18820
418	4984	18807
419	4996	18797
420	5008	18784
421	5020	18773
422	5032	18761
423	5044	18751
424	5055	18736
425	5067	18722
426	5078	18709
427	5088	18688
428	5099	18674
429	5111	18662
430	5125	18658
431	5137	18648
432	5147	18630
433	5157	18610
434	5167	18590
435	5177	18573
436	5187	18553
437	5198	18540
438	5208	18521
439	5219	18504
440	5231	18494
441	5244	18487
442	5255	18471
443	5267	18460
444	5279	18447
445	5288	18427
446	5298	18408
447	5308	18390
448	5320	18377
449	5331	18364
450	5343	18352
451	5355	18340
452	5366	18328
453	5380	18320
454	5393	18314
455	5405	18303
456	5417	18291
457	5431	18286
458	5442	18273
459	5454	18260
460	5466	18249
461	5478	18236
462	5489	18224
463	5501	18211
464	5511	18193
465	5521	18175
466	5531	18157
467	5543	18145
468	5554	18133
469	5566	18121
470	5579	18111
471	5591	18099
472	5601	18082
473	5613	18070
474	5626	18062
475	5638	18051
476	5647	18030
477	5659	18018
478	5670	18006
479	5680	17988
480	5690	17971
481	5702	17960
482	5714	17947
483	5727	17938
484	5739	17928
485	5751	17918
486	5763	17904
487	5774	17891
488	5783	17872
489	5793	17852
490	5804	17839
491	5814	17821
492	5824	17804
493	5835	17791
494	5848	17780
495	5859	17768
496	5872	17757
497	5883	17745
498	5895	17733
499	5905	17715
500	5914	17696
501	5926	17683
502	5937	17672
503	5949	17659
504	5961	17647
505	5971	17631
506	5982	17618
507	5992	17601
508	6004	17588
509	6014	17571
510	6024	17554
511	6035	17541
512	6045	17525
513	6057	17512
514	6067	17496
515	6077	17478
516	6087	17461
517	6098	17449
518	6110	17436
519	6120	17419
520	6134	17413
521	6145	17400
522	6157	17388
523	6169	17377
524	6178	17358
525	6188	17342
526	6200	17330
527	6212	17319
528	6225	17312
529	6238	17302
530	6250	17293
531	6262	17280
532	6274	17268
533	6284	17252
534	6296	17242
535	6306	17225
536	6318	17213
537	6330	17202
538	6341	17190
539	6352	17174
540	6361	17157
541	6371	17139
542	6381	17122
543	6392	17109
544	6404	17097
545	6415	17085
546	6426	17069
547	6437	17058
548	6447	17040
549	6459	17028
550	6469	17012
551	6481	17001
552	6493	16990
553	6504	16978
554	6517	16969
555	6529	16957
556	6540	16945
557	6550	16928
558	6562	16916
559	6572	16900
560	6584	16889
561	6594	16873
562	6606	16861
563	6616	16845
564	6628	16834
565	6639	16820
566	6649	16804
567	6660	16792
568	6671	16779
569	6681	16761
570	6690	16744
571	6702	16732
572	6715	16723
573	6727	16712
574	6738	16699
575	6750	16689
576	6760	16672
577	6770	16656
578	6780	16639
579	6790	16624
580	6802	16613
581	6813	16600
582	6823	16584
583	6833	16567
584	6842	16551
585	6854	16538
586	6863	16521
587	6875	16511
588	6885	16495
589	6897	16483
590	6907	16467
591	6919	16456
592	6928	16439
593	6938	16424
594	6950	16411
595	6960	16396
596	6971	16384
597	6982	16369
598	6993	16357
599	7003	16341
600	7012	16324
601	7025	16314
602	7037	16303
603	7053	16301
604	7074	16313
605	7093	16316
606	7114	16326
607	7131	16326
608	7153	16339
609	7167	16332
610	7177	16316
611	7189	16305
612	7199	16289
613	7211	16278
614	7224	16270
615	7234	16254
616	7246	16242
617	7258	16231
618	7268	16215
619	7279	16203
620	7289	16187
621	7300	16172
622	7311	16161
623	7323	16148
624	7333	16133
625	7343	16117
626	7353	16101
627	7365	16090
628	7376	16078
629	7388	16067
630	7400	16054
631	7411	16043
632	7421	16026
633	7430	16010
634	7440	15994
635	7452	15983
636	7464	15972
637	7476	15960
638	7488	15949
639	7500	15938
640	7510	15922
641	7519	15906
642	7530	15891
643	7540	15876
644	7549	15860
645	7561	15847
646	7572	15834
647	7581	15818
648	7594	15808
649	7605	15796
650	7615	15780
651	7627	15769
652	7639	15759
653	7649	15743
654	7661	15732
655	7672	15720
656	7685	15709
657	7699	15702
658	7711	15692
659	7723	15680
660	7736	15672
661	7749	15662
662	7761	15651
663	7772	15638
664	7784	15627
665	7795	15615
666	7805	15598
667	7815	15583
668	7826	15570
669	7838	15559
670	7847	15543
671	7860	15532
672	7869	15517
673	7880	15503
674	7891	15491
675	7903	15478
676	7915	15468
677	7925	15452
678	7936	15440
679	7946	15426
680	7958	15415
681	7970	15402
682	7980	15387
683	7989	15371
684	8000	15358
685	8010	15343
686	8022	15331
687	8032	15317
688	8042	15302
689	8053	15290
690	8063	15275
691	8075	15264
692	8088	15254
693	8100	15243
694	8111	15231
695	8123	15219
696	8136	15210
697	8147	15197
698	8159	15186
699	8171	15174
700	8185	15167
701	8199	15160
702	8212	15151
703	8225	15142
704	8237	15131
705	8250	15122
706	8262	15111
707	8275	15101
708	8285	15086
709	8295	15071
710	8305	15056
711	8317	15045
712	8329	15034
713	8340	15023
714	8352	15010
715	8362	14995
716	8372	14981
717	8384	14969
718	8397	14961
719	8408	14948
720	8420	14937
721	8430	14922
722	8440	14907
723	8449	14892
724	8459	14876
725	8470	14864
726	8480	14849
727	8490	14834
728	8499	14819
729	8509	14804
730	8519	14789
731	8529	14774
732	8538	14759
733	8550	14747
734	8559	14732
735	8569	14717
736	8580	14703
737	8591	14691
738	8603	14680
739	8615	14670
740	8629	14662
741	8641	14650
742	8652	14637
743	8662	14623
744	8674	14612
745	8689	14606
746	8701	14595
747	8712	14583
748	8724	14572
749	8734	14556
750	8745	14545
751	8750	14522
752	8762	14511
753	8773	14499
754	8785	14487
755	8797	14476
756	8807	14461
757	8816	14446
758	8828	14434
759	8839	14422
760	8851	14411
761	8861	14396
762	8873	14385
763	8884	14374
764	8896	14362
765	8906	14347
766	8916	14333
767	8925	14318
768	8937	14307
769	8948	14294
770	8960	14283
771	8970	14268
772	8980	14254
773	8989	14239
774	9001	14227
775	9013	14217
776	9023	14202
777	9035	14191
778	9045	14177
779	9054	14162
780	9066	14151
781	9076	14137
782	9088	14126
783	9098	14111
784	9107	14096
785	9121	14087
786	9133	14077
787	9143	14063
788	9153	14048
789	9163	14034
790	9175	14023
791	9188	14014
792	9199	14001
793	9209	13988
794	9219	13973
795	9230	13962
796	9242	13951
797	9252	13936
798	9262	13922
799	9275	13913
800	9285	13898
801	9298	13889
802	9311	13879
803	9328	13876
804	9343	13869
805	9369	13880
806	9384	13873
807	9399	13866
808	9412	13856
809	9418	13837
810	9430	13825
811	9441	13813
812	9454	13803
813	9463	13788
814	9473	13773
815	9484	13762
816	9493	13746
817	9504	13734
818	9514	13720
819	9524	13706
820	9536	13694
821	9548	13683
822	9559	13671
823	9570	13659
824	9580	13644
825	9591	13632
826	9601	13618
827	9613	13607
828	9624	13595
829	9637	13585
830	9649	13574
831	9661	13563
832	9675	13554
833	9685	13540
834	9696	13529
835	9706	13514
836	9718	13503
837	9727	13489
838	9739	13477
839	9750	13465
840	9762	13454
841	9771	13439
842	9783	13427
843	9793	13413
844	9804	13402
845	9815	13388
846	9824	13374
847	9836	13362
848	9846	13349
849	9858	13338
850	9869	13325
851	9881	13314
852	9891	13300
853	9901	13287
854	9915	13278
855	9927	13267
856	9937	13253
857	9947	13239
858	9958	13227
859	9968	13214
860	9980	13202
861	9989	13188
862	10001	13176
863	10013	13165
864	10022	13151
865	10034	13139
866	10044	13125
867	10055	13114
868	10065	13100
869	10075	13086
870	10087	13075
871	10098	13063
872	10110	13052
873	10123	13042
874	10136	13032
875	10149	13023
876	10160	13011
877	10172	13000
878	10184	12988
879	10192	12972
880	10204	12961
881	10216	12950
882	10226	12937
883	10238	12925
884	10247	12910
885	10256	12895
886	10265	12881
887	10277	12870
888	10287	12856
889	10299	12844
890	10311	12834
891	10320	12820
892	10330	12806
893	10340	12792
894	10352	12781
895	10365	12771
896	10377	12761
897	10390	12750
898	10401	12738
899	10413	12727
900	10423	12714
901	10436	12703
902	10447	12691
903	10456	12677
904	10467	12664
905	10479	12653
906	10488	12639
907	10500	12628
908	10512	12617
909	10521	12602
910	10533	12592
911	10545	12580
912	10555	12567
913	10567	12555
914	10576	12542
915	10586	12528
916	10596	12514
917	10606	12501
918	10618	12490
919	10630	12479
920	10643	12468
921	10655	12457
922	10667	12447
923	10679	12435
924	10688	12421
925	10698	12408
926	10708	12394
927	10717	12381
928	10727	12367
929	10739	12355
930	10748	12341
931	10760	12330
932	10769	12316
933	10781	12305
934	10791	12292
935	10801	12278
936	10813	12267
937	10824	12255
938	10834	12242
939	10844	12229
940	10856	12217
941	10868	12206
942	10879	12194
943	10889	12181
944	10901	12170
945	10911	12157
946	10923	12146
947	10935	12135
948	10946	12122
949	10956	12109
950	10967	12097
951	10977	12084
952	10989	12073
953	10999	12060
954	11009	12047
955	11023	12037
956	11034	12026
957	11046	12014
958	11057	12003
959	11068	11990
960	11080	11979
961	11091	11968
962	11103	11956
963	11112	11942
964	11124	11931
965	11136	11920
966	11149	11910
967	11162	11900
968	11174	11889
969	11186	11878
970	11198	11866
971	11207	11852
972	11216	11839
973	11228	11828
974	11240	11816
975	11250	11804
976	11262	11792
977	11274	11781
978	11284	11768
979	11295	11757
980	11305	11743
981	11315	11730
982	11324	11715
983	11335	11704
984	11345	11691
985	11359	11681
986	11371	11671
987	11380	11657
988	11391	11645
989	11403	11633
990	11413	11620
991	11422	11606
992	11432	11593
993	11441	11579
994	11453	11568
995	11464	11556
996	11474	11543
997	11483	11529
998	11492	11515
999	11505	11505
1000	11514	11491
1001	11527	11481
1002	11540	11471
1003	11556	11463
1004	11568	11453
1005	11582	11444
1006	11595	11434
1007	11607	11422
1008	11619	11412
1009	11635	11404
1010	11648	11394
1011	11662	11385
1012	11676	11376
1013	11694	11371
1014	11707	11361
1015	11718	11349
1016	11731	11339
1017	11743	11327
1018	11754	11315
1019	11765	11303
1020	11775	11290
1021	11786	11279
1022	11797	11267
1023	11808	11255
1024	11820	11243
1025	11830	11230
1026	11841	11219
1027	11851	11205
1028	11861	11192
1029	11872	11180
1030	11882	11168
1031	11893	11155
1032	11902	11142
1033	11912	11128
1034	11922	11115
1035	11931	11101
1036	11941	11089
1037	11950	11075
1038	11961	11063
1039	11971	11050
1040	11981	11037
1041	11991	11024
1042	12000	11011
1043	12010	10997
1044	12019	10984
1045	12030	10972
1046	12040	10959
1047	12050	10947
1048	12061	10934
1049	12070	10921
1050	12081	10908
1051	12091	10896
1052	12101	10883
1053	12111	10870
1054	12123	10859
1055	12134	10847
1056	12145	10835
1057	12156	10823
1058	12166	10810
1059	12176	10798
1060	12186	10785
1061	12197	10773
1062	12208	10761
1063	12218	10749
1064	12228	10736
1065	12239	10723
1066	12250	10711
1067	12259	10698
1068	12269	10685
1069	12280	10673
1070	12290	10660
1071	12300	10648
1072	12311	10635
1073	12321	10623
1074	12331	10611
1075	12341	10597
1076	12352	10586
1077	12363	10574
1078	12373	10561
1079	12384	10549
1080	12394	10536
1081	12404	10524
1082	12414	10511
1083	12424	10499
1084	12434	10486
1085	12445	10474
1086	12455	10461
1087	12465	10448
1088	12475	10436
1089	12486	10424
1090	12496	10411
1091	12506	10399
1092	12516	10386
1093	12527	10374
1094	12537	10362
1095	12548	10349
1096	12558	10337
1097	12568	10324
1098	12578	10311
1099	12588	10299
1100	12598	10287
1101	12608	10274
1102	12619	10262
1103	12631	10251
1104	12642	10239
1105	12654	10228
1106	12669	10220
1107	12679	10207
1108	12689	10195
1109	12699	10182
1110	12710	10170
1111	12720	10157
1112	12729	10144
1113	12738	10131
1114	12748	10119
1115	12759	10106
1116	12768	10093
1117	12778	10081
1118	12789	10069
1119	12799	10056
1120	12809	10044
1121	12819	10031
1122	12829	10018
1123	12840	10007
1124	12850	9994
1125	12859	9981
1126	12870	9969
1127	12880	9957
1128	12890	9944
1129	12901	9932
1130	12911	9920
1131	12923	9909
1132	12933	9896
1133	12943	9884
1134	12953	9871
1135	12962	9858
1136	12972	9846
1137	12982	9833
1138	12991	9820
1139	13002	9808
1140	13012	9796
1141	13022	9784
1142	13033	9772
1143	13044	9760
1144	13054	9748
1145	13065	9736
1146	13075	9723
1147	13085	9711
1148	13097	9700
1149	13110	9690
1150	13124	9681
1151	13137	9670
1152	13150	9660
1153	13160	9647
1154	13173	9637
1155	13186	9627
1156	13196	9615
1157	13206	9602
1158	13217	9590
1159	13227	9578
1160	13237	9566
1161	13247	9553
1162	13256	9540
1163	13267	9528
1164	13277	9516
1165	13287	9504
1166	13298	9492
1167	13308	9479
1168	13318	9467
1169	13328	9455
1170	13341	9444
1171	13350	9431
1172	13360	9419
1173	13370	9407
1174	13381	9395
1175	13391	9383
1176	13401	9371
1177	13413	9359
1178	13419	9344
1179	13430	9333
1180	13440	9320
1181	13450	9308
1182	13460	9296
1183	13470	9283
1184	13480	9271
1185	13489	9258
1186	13500	9246
1187	13509	9234
1188	13519	9221
1189	13530	9210
1190	13541	9198
1191	13550	9185
1192	13560	9172
1193	13570	9160
1194	13580	9148
1195	13591	9136
1196	13602	9124
1197	13614	9114
1198	13627	9103
1199	13638	9092
1200	13646	9078
1201	13658	9067
1202	13672	9058
1203	13694	9053
1204	13710	9045
1205	13725	9036
1206	13740	9027
1207	13754	9017
1208	13768	9008
1209	13783	8999
1210	13795	8988
1211	13808	8977
1212	13820	8966
1213	13832	8955
1214	13842	8943
1215	13851	8930
1216	13863	8919
1217	13873	8907
1218	13883	8895
1219	13894	8883
1220	13904	8870
1221	13912	8857
1222	13923	8845
1223	13933	8833
1224	13943	8821
1225	13953	8809
1226	13964	8797
1227	13975	8785
1228	13985	8773
1229	13996	8761
1230	14006	8749
1231	14017	8738
1232	14027	8725
1233	14037	8713
1234	14047	8701
1235	14057	8689
1236	14068	8677
1237	14077	8664
1238	14087	8652
1239	14100	8642
1240	14113	8631
1241	14126	8621
1242	14136	8609
1243	14146	8597
1244	14156	8584
1245	14166	8572
1246	14177	8560
1247	14188	8549
1248	14199	8538
1249	14210	8526
1250	14219	8513
1251	14229	8501
1252	14239	8488
1253	14248	8476
1254	14258	8464
1255	14268	8452
1256	14280	8441
1257	14291	8429
1258	14301	8417
1259	14310	8404
1260	14321	8392
1261	14330	8380
1262	14340	8368
1263	14352	8357
1264	14362	8345
1265	14372	8332
1266	14383	8321
1267	14391	8307
1268	14400	8295
1269	14411	8283
1270	14421	8271
1271	14429	8258
1272	14439	8246
1273	14449	8234
1274	14459	8222
1275	14469	8209
1276	14479	8198
1277	14490	8186
1278	14500	8174
1279	14510	8162
1280	14520	8150
1281	14529	8137
1282	14539	8125
1283	14548	8112
1284	14558	8100
1285	14569	8089
1286	14584	8079
1287	14596	8068
1288	14607	8057
1289	14617	8045
1290	14628	8033
1291	14638	8021
1292	14648	8009
1293	14658	7997
1294	14667	7985
1295	14677	7973
1296	14687	7961
1297	14698	7949
1298	14707	7937
1299	14716	7924
1300	14727	7912
1301	14736	7900
1302	14746	7888
1303	14756	7876
1304	14765	7863
1305	14775	7851
1306	14784	7839
1307	14794	7826
1308	14803	7814
1309	14813	7802
1310	14824	7790
1311	14833	7778
1312	14845	7767
1313	14855	7755
1314	14865	7743
1315	14874	7731
1316	14884	7719
1317	14894	7706
1318	14904	7695
1319	14913	7682
1320	14923	7670
1321	14933	7658
1322	14943	7646
1323	14953	7634
1324	14963	7622
1325	14973	7610
1326	14983	7599
1327	14995	7587
1328	15004	7575
1329	15015	7564
1330	15025	7552
1331	15034	7539
1332	15044	7527
1333	15054	7515
1334	15066	7505
1335	15078	7494
1336	15092	7484
1337	15105	7473
1338	15115	7461
1339	15124	7449
1340	15133	7437
1341	15145	7425
1342	15155	7414
1343	15165	7402
1344	15176	7390
1345	15185	7378
1346	15196	7366
1347	15206	7355
1348	15216	7342
1349	15225	7330
1350	15235	7318
1351	15245	7306
1352	15254	7294
1353	15266	7283
1354	15275	7271
1355	15286	7259
1356	15296	7247
1357	15308	7237
1358	15320	7226
1359	15332	7215
1360	15342	7203
1361	15361	7195
1362	15375	7185
1363	15389	7175
1364	15413	7170
1365	15436	7164
1366	15449	7153
1367	15462	7143
1368	15474	7132
1369	15486	7121
1370	15496	7109
1371	15517	7102
1372	15531	7092
1373	15541	7080
1374	15551	7069
1375	15562	7057
1376	15575	7046
1377	15586	7035
1378	15597	7023
1379	15607	7012
1380	15618	7000
1381	15628	6988
1382	15638	6976
1383	15648	6964
1384	15658	6952
1385	15668	6941
1386	15678	6929
1387	15694	6920
1388	15707	6909
1389	15718	6897
1390	15729	6886
1391	15740	6875
1392	15750	6863
1393	15759	6851
1394	15769	6839
1395	15779	6827
1396	15790	6815
1397	15799	6803
1398	15810	6792
1399	15819	6779
1400	15830	6768
1401	15842	6757
1402	15853	6745
1403	15863	6734
1404	15876	6723
1405	15890	6713
1406	15906	6704
1407	15922	6694
1408	15945	6688
1409	15968	6681
1410	15980	6670
1411	15994	6660
1412	16012	6651
1413	16028	6642
1414	16040	6631
1415	16050	6619
1416	16061	6608
1417	16071	6596
1418	16086	6586
1419	16098	6575
1420	16108	6563
1421	16119	6551
1422	16129	6540
1423	16139	6528
1424	16148	6515
1425	16158	6504
1426	16168	6492
1427	16178	6480
1428	16188	6468
1429	16198	6456
1430	16208	6444
1431	16218	6432
1432	16228	6421
1433	16239	6409
1434	16250	6398
1435	16259	6386
1436	16269	6374
1437	16279	6362
1438	16288	6350
1439	16300	6339
1440	16310	6327
1441	16321	6315
1442	16332	6304
1443	16342	6292
1444	16352	6280
1445	16363	6269
1446	16372	6257
1447	16382	6245
1448	16391	6233
1449	16401	6221
1450	16412	6209
1451	16422	6198
1452	16433	6186
1453	16443	6174
1454	16454	6163
1455	16464	6151
1456	16474	6139
1457	16485	6128
1458	16495	6116
1459	16505	6104
1460	16516	6093
1461	16525	6081
1462	16537	6070
1463	16550	6059
1464	16562	6048
1465	16573	6037
1466	16585	6026
1467	16596	6014
1468	16607	6003
1469	16617	5991
1470	16625	5978
1471	16635	5967
1472	16645	5955
1473	16655	5943
1474	16665	5931
1475	16675	5919
1476	16684	5907
1477	16694	5896
1478	16704	5884
1479	16714	5872
1480	16724	5860
1481	16733	5848
1482	16743	5837
1483	16753	5825
1484	16763	5813
1485	16773	5801
1486	16782	5789
1487	16792	5778
1488	16803	5766
1489	16813	5755
1490	16823	5743
1491	16833	5731
1492	16843	5719
1493	16853	5708
1494	16862	5696
1495	16872	5684
1496	16888	5674
1497	16898	5662
1498	16908	5651
1499	16919	5639
1500	16930	5628
1501	16940	5616
1502	16951	5605
1503	16961	5593
1504	16971	5581
1505	16982	5570
1506	16992	5558
1507	17002	5547
1508	17012	5535
1509	17023	5524
1510	17034	5512
1511	17046	5501
1512	17059	5490
1513	17071	5480
1514	17082	5468
1515	17093	5457
1516	17103	5445
1517	17114	5434
1518	17125	5422
1519	17134	5410
1520	17144	5399
1521	17154	5387
1522	17164	5375
1523	17174	5364
1524	17184	5352
1525	17194	5340
1526	17204	5329
1527	17215	5317
1528	17224	5306
1529	17234	5294
1530	17244	5282
1531	17254	5271
1532	17265	5259
1533	17281	5249
1534	17291	5238
1535	17306	5227
1536	17316	5216
1537	17326	5204
1538	17335	5192
1539	17345	5181
1540	17356	5169
1541	17365	5157
1542	17375	5146
1543	17386	5134
1544	17396	5123
1545	17405	5111
1546	17415	5099
1547	17425	5088
1548	17435	5076
1549	17445	5064
1550	17454	5053
1551	17464	5041
1552	17475	5029
1553	17484	5018
1554	17494	5006
1555	17504	4994
1556	17516	4983
1557	17527	4972
1558	17537	4961
1559	17552	4950
1560	17564	4939
1561	17576	4928
1562	17586	4917
1563	17596	4905
1564	17605	4893
1565	17615	4881
1566	17623	4869
1567	17633	4858
1568	17644	4846
1569	17653	4835
1570	17663	4823
1571	17673	4811
1572	17683	4800
1573	17694	4788
1574	17703	4777
1575	17713	4765
1576	17723	4753
1577	17731	4741
1578	17741	4730
1579	17752	4718
1580	17761	4707
1581	17771	4695
1582	17781	4684
1583	17790	4672
1584	17800	4660
1585	17810	4649
1586	17820	4637
1587	17829	4625
1588	17840	4614
1589	17850	4602
1590	17859	4591
1591	17869	4579
1592	17880	4568
1593	17890	4556
1594	17901	4545
1595	17911	4534
1596	17921	4522
1597	17931	4510
1598	17941	4499
1599	17950	4487
1600	17961	4476
1601	17971	4464
1602	17984	4454
1603	17995	4442
1604	18008	4431
1605	18023	4421
1606	18034	4410
1607	18048	4399
1608	18061	4389
1609	18077	4379
1610	18093	4368
1611	18105	4357
1612	18118	4347
1613	18130	4336
1614	18142	4325
1615	18156	4314
1616	18167	4303
1617	18182	4292
1618	18193	4281
1619	18205	4270
1620	18216	4259
1621	18226	4247
1622	18236	4236
1623	18247	4224
1624	18256	4213
1625	18269	4202
1626	18279	4190
1627	18289	4179
1628	18298	4167
1629	18308	4155
1630	18317	4144
1631	18328	4132
1632	18338	4121
1633	18349	4110
1634	18359	4098
1635	18369	4087
1636	18380	4075
1637	18390	4064
1638	18399	4052
1639	18410	4041
1640	18420	4029
1641	18430	4018
1642	18439	4006
1643	18449	3995
1644	18459	3983
1645	18468	3971
1646	18478	3960
1647	18488	3949
1648	18499	3937
1649	18510	3926
1650	18522	3915
1651	18531	3903
1652	18541	3892
1653	18551	3880
1654	18564	3870
1655	18574	3858
1656	18584	3846
1657	18594	3835
1658	18603	3823
1659	18613	3812
1660	18623	3800
1661	18633	3789
1662	18642	3777
1663	18653	3766
1664	18663	3755
1665	18673	3743
1666	18685	3732
1667	18696	3721
1668	18706	3709
1669	18716	3698
1670	18725	3686
1671	18735	3675
