iter	RMSE
406	67799.30179
407	67784.97229
408	67769.18515
409	67727.3466
410	67715.27742
411	67710.25891
412	67693.28983
413	67668.78435
414	67650.44454
415	67620.40124
416	67566.31705
417	67543.22469
418	67519.29971
419	67506.53992
420	67496.59648
421	67470.73151
422	67442.17122
423	67426.982
424	67407.96465
425	67394.27299
426	67388.85036
427	67378.81439
428	67364.48975
429	67333.07829
430	67297.14634
431	67282.08915
432	67273.23963
433	67260.51048
434	67246.40455
435	67241.37252
436	67199.03749
437	67184.98493
438	67173.1714
439	67139.59212
440	67126.6425
441	67094.32767
442	67068.64793
443	67045.32009
444	67026.68815
445	67019.34929
446	67000.32685
447	66980.88244
448	66946.31458
449	66927.19325
450	66905.82704
451	66897.60189
452	66863.62473
453	66848.94568
454	66833.63441
455	66829.24385
456	66815.59353
457	66786.92892
458	66756.73518
459	66741.23105
460	66718.86416
461	66707.32785
462	66688.98463
463	66673.74754
464	66667.26727
465	66646.17688
466	66618.18278
467	66589.85267
468	66554.72655
469	66540.29603
470	66530.26689
471	66512.52795
472	66495.11466
473	66469.7561
474	66460.06794
475	66438.68447
476	66419.84744
477	66399.98308
478	66377.88423
479	66354.9989
480	66316.75066
481	66279.43473
482	66266.04663
483	66259.03255
484	66239.56993
485	66213.68752
486	66183.81949
487	66172.21267
488	66150.18812
489	66128.52119
490	66119.49749
491	66105.4589
492	66099.65494
493	66059.00851
494	66023.97352
495	66013.2047
496	65983.04943
497	65970.42496
498	65939.25287
499	65884.60431
500	65849.8586
501	65823.61574
502	65810.97233
503	65786.20864
504	65762.95162
505	65747.29941
506	65726.75036
507	65717.87803
508	65710.76875
509	65696.49271
510	65672.86286
511	65659.71189
512	65653.19576
513	65630.93393
514	65616.97249
515	65591.95093
516	65575.51013
517	65564.6743
518	65547.84356
519	65525.63177
520	65518.44132
521	65488.87652
522	65457.65882
523	65434.17896
524	65407.32697
525	65400.84862
526	65388.36307
527	65382.34553
528	65365.64014
529	65349.98254
530	65338.18764
531	65322.88143
532	65312.7732
533	65299.7478
534	65288.45507
535	65261.62421
536	65245.61511
537	65232.42263
538	65204.4818
539	65184.40828
540	65168.03757
541	65151.15237
542	65135.64221
543	65122.58183
544	65110.09335
545	65084.06507
546	65072.36793
547	65066.45484
548	65033.96839
549	65018.88238
550	65004.14586
551	64989.41731
552	64979.02163
553	64971.16702
554	64949.76705
555	64914.88031
556	64901.048
557	64884.28229
558	64852.03917
559	64834.36846
560	64821.98198
561	64804.06463
562	64783.16709
563	64757.15138
564	64745.08182
565	64734.82703
566	64723.06087
567	64712.6161
568	64707.99305
569	64677.06557
570	64651.31455
571	64623.36023
572	64599.34259
573	64585.94746
574	64565.19755
575	64549.04738
576	64520.94204
577	64496.20063
578	64473.64655
579	64451.62619
580	64442.14872
581	64423.2869
582	64393.23223
583	64366.78924
584	64325.79956
585	64317.6189
586	64297.92745
587	64288.53855
588	64278.07984
589	64269.37933
590	64256.17933
591	64238.10929
592	64223.31267
593	64205.0505
594	64187.38965
595	64164.85361
596	64138.65304
597	64122.3157
598	64100.53553
599	64087.01515
600	64075.00451
601	64051.20397
602	64044.17207
603	64036.81195
604	64009.69911
605	63994.54212
606	63966.4571
607	63955.56301
608	63953.93043
609	63942.8892
610	63930.84932
611	63920.61353
612	63905.04651
613	63892.00373
614	63879.67726
615	63861.0925
616	63852.61434
617	63833.81355
618	63812.41032
619	63792.77171
620	63776.94342
621	63762.26348
622	63736.51939
623	63719.09433
624	63684.45284
625	63639.03084
626	63631.90207
627	63611.83896
628	63605.99614
629	63563.61553
630	63525.66482
631	63507.62311
632	63491.9395
633	63473.02281
634	63465.45613
635	63435.90482
636	63419.43114
637	63413.78504
638	63376.24081
639	63352.67306
640	63342.03835
641	63333.58704
642	63324.04472
643	63297.72107
644	63275.88572
645	63245.66254
646	63230.81809
647	63210.52161
648	63178.33224
649	63160.59489
650	63134.25545
651	63122.34823
652	63087.63892
653	63070.17813
654	63044.53968
655	63027.97022
656	63017.52515
657	62997.61153
658	62990.24765
659	62968.33288
660	62946.74836
661	62939.53245
662	62929.57354
663	62908.88438
664	62884.85535
665	62847.37707
666	62822.17041
667	62792.38492
668	62764.15019
669	62734.27292
670	62707.36211
671	62691.64751
672	62673.98974
673	62662.96777
674	62645.97434
675	62634.16289
676	62624.94125
677	62618.72594
678	62604.53705
679	62592.67649
680	62574.40548
681	62562.05525
682	62549.91974
683	62532.44452
684	62515.671
685	62503.81117
686	62482.63823
687	62467.98115
688	62448.47885
689	62425.25253
690	62415.83397
691	62375.20011
692	62353.20531
693	62344.96319
694	62329.35698
695	62310.21616
696	62305.44644
697	62298.47024
698	62294.79183
699	62293.87329
700	62280.21406
701	62269.98675
702	62247.01492
703	62238.33161
704	62213.77782
705	62191.50348
706	62171.23221
707	62153.37925
708	62125.51855
709	62102.71733
710	62089.50167
711	62071.50726
712	62055.84487
713	62033.86375
714	62014.14901
715	61993.64821
716	61978.76638
717	61969.84124
718	61957.09406
719	61943.47993
720	61934.98989
721	61924.19717
722	61909.18175
723	61880.57385
724	61871.31309
725	61845.48706
726	61835.34365
727	61819.91831
728	61796.88341
729	61790.34479
730	61783.13747
731	61756.18233
732	61716.69618
733	61685.87549
734	61674.94929
735	61662.86587
736	61650.39606
737	61645.98612
738	61633.7733
739	61617.17947
740	61600.94993
741	61574.33433
742	61560.75378
743	61541.47346
744	61534.46681
745	61524.54154
746	61512.14359
747	61487.67254
748	61462.53521
749	61456.28151
750	61452.2621
751	61432.14192
752	61417.02902
753	61412.10818
754	61391.18899
755	61384.16549
756	61379.18575
757	61375.9708
758	61370.90096
759	61364.66102
760	61354.73814
761	61347.14431
762	61339.55729
763	61322.35386
764	61301.39996
765	61295.03768
766	61277.29565
767	61255.58731
768	61226.03815
769	61221.4926
770	61215.16577
771	61194.15539
772	61169.31625
773	61150.21634
774	61134.50145
775	61130.97095
776	61113.15142
777	61102.4292
778	61091.33568
779	61077.90316
780	61059.87779
781	61054.8582
782	61034.18708
783	61002.74562
784	60978.92827
785	60959.57859
786	60958.90831
787	60954.1169
788	60952.03294
789	60929.86598
790	60905.26121
791	60897.22838
792	60890.97708
793	60867.71535
794	60866.2256
795	60858.16383
796	60848.38788
797	60842.43603
798	60828.71463
799	60813.52601
800	60790.24743
801	60783.64054
802	60771.05114
803	60747.26715
804	60732.95675
805	60716.14733
806	60699.16489
807	60682.67406
808	60647.14893
809	60619.89344
810	60597.07934
811	60589.59205
812	60565.57415
813	60559.24937
814	60548.218
815	60531.14164
816	60520.25283
817	60502.17084
818	60488.31943
819	60482.16533
820	60473.21165
821	60458.51869
822	60452.2096
823	60439.69263
824	60428.59312
825	60418.93117
826	60411.51305
827	60402.90438
828	60390.78923
829	60386.20332
830	60377.97537
831	60356.55445
832	60333.64555
833	60328.41808
834	60317.74504
835	60307.0115
836	60277.6756
837	60256.69674
838	60246.322
839	60233.85294
840	60220.34822
841	60210.30454
842	60195.50672
843	60186.25907
844	60179.16389
845	60164.30329
846	60141.66633
847	60122.82351
848	60108.85855
849	60100.48208
850	60085.18639
851	60065.00824
852	60051.11926
853	60044.37269
854	60027.94196
855	60023.65718
856	60007.27669
857	59985.12912
858	59964.72962
859	59956.52179
860	59947.42954
861	59941.44818
862	59922.14218
863	59908.18455
864	59894.0748
865	59881.11961
866	59861.78193
867	59848.93194
868	59846.89672
869	59839.43514
870	59823.35909
871	59814.82991
872	59810.8702
873	59790.20807
874	59774.54661
875	59751.26769
876	59742.62849
877	59725.73403
878	59708.60775
879	59704.05801
880	59701.12082
881	59681.43258
882	59671.88673
883	59665.63177
884	59661.30657
885	59653.63196
886	59645.02625
887	59619.03682
888	59607.75158
889	59591.00291
890	59562.77941
891	59551.96054
892	59535.79283
893	59500.05391
894	59480.11121
895	59473.95538
896	59459.00388
897	59457.86791
898	59443.04932
899	59429.81005
