Feature,Importance
locality_grouped_Waterloo,0.00011355974197979316
locality_grouped_Roeselare,0.00011155269858157203
locality_grouped_Wavre,0.0001113023371314674
locality_grouped_Wavre,0.00011039164461868901
locality_grouped_Kortrijk,0.00010988980536041355
locality_grouped_Geraardsbergen,0.0001092457793587004
locality_grouped_Woluwe-Saint-Lambert,0.00010755355446654633
locality_grouped_Wavre,0.00010671826137985896
locality_grouped_Saint-Gilles,0.00010516860475079021
locality_grouped_Kortrijk,0.0001041202307200867
locality_grouped_Waterloo,0.00010177814851786386
locality_grouped_Blankenberge,0.000101451232233725
locality_grouped_Roeselare,0.00010038500250770437
locality_grouped_Hasselt,9.957964285494811e-05
locality_grouped_Geraardsbergen,9.946536011724758e-05
locality_grouped_Kortrijk,9.838805057698559e-05
locality_grouped_Kortrijk,9.830417871224657e-05
locality_grouped_Hasselt,9.643055353203066e-05
locality_grouped_Mol,9.636154873414795e-05
locality_grouped_Blankenberge,9.455825513864781e-05
locality_grouped_Hasselt,9.370534642355773e-05
locality_grouped_Mouscron,9.369302585673383e-05
locality_grouped_Saint-Gilles,9.33180161914972e-05
locality_grouped_Saint-Gilles,9.29673779300814e-05
locality_grouped_Saint-Gilles,9.139249028908554e-05
locality_grouped_Geraardsbergen,9.024142532746858e-05
locality_grouped_Geraardsbergen,8.932055724754129e-05
locality_grouped_Hasselt,8.82746501055648e-05
locality_grouped_Woluwe-Saint-Lambert,8.715261978786865e-05
locality_grouped_Mouscron,8.594598392792338e-05
locality_grouped_Seraing,8.569644802265763e-05
locality_grouped_Mol,8.549068761286068e-05
locality_grouped_DePanne,8.539010410968697e-05
locality_grouped_Mouscron,8.493325770616838e-05
locality_grouped_DePanne,8.16670496436594e-05
locality_grouped_Blankenberge,8.117112821757368e-05
locality_grouped_Woluwe-Saint-Lambert,8.003871315768675e-05
locality_grouped_DePanne,7.841880144907008e-05
locality_grouped_Mol,7.76206815968184e-05
locality_grouped_Nivelles,7.476245600547637e-05
locality_grouped_Woluwe-Saint-Lambert,7.462578154871175e-05
locality_grouped_Mol,7.24462603162057e-05
locality_grouped_DePanne,7.243773001159169e-05
locality_grouped_Ronse,7.18947654532487e-05
locality_grouped_Tournai,7.064709101511929e-05
